               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10795,             0.01298,            0.053808,           0.0022999,             0.65673,             0.07726,            0.024237,            0.080065,           0.0096515,            0.050855,              0.0704,           0.0032889,           0.0032889
                   1,             0.07825,            0.012339,             0.04892,             0.36808,            0.098014,             0.13319,             0.05916,            0.076886,           0.0073413,            0.045263,            0.040387,           0.0066091,           0.0066091
                   2,            0.075952,            0.010392,            0.041442,             0.31866,             0.25564,             0.14725,            0.042244,            0.073286,           0.0060503,            0.036583,            0.010361,           0.0099161,           0.0099161
                   3,            0.072566,           0.0086222,            0.032034,             0.30067,             0.43081,             0.31794,             0.10634,            0.066573,           0.0046507,            0.023816,           0.0099406,           0.0099406,           0.0099406
                   4,            0.068979,           0.0075433,             0.02137,             0.42821,             0.40989,             0.34294,             0.10275,            0.069909,           0.0047073,            0.022939,           0.0099406,           0.0099406,           0.0099406
                   5,            0.068435,           0.0067325,            0.012753,             0.42176,             0.56559,             0.52977,             0.16687,            0.065579,           0.0043779,           0.0066106,           0.0099208,           0.0099208,           0.0099208
                   6,            0.065216,           0.0065385,            0.010237,             0.56164,             0.43236,             0.45238,             0.16705,            0.060988,           0.0039606,            0.025908,            0.009901,            0.009901,            0.009901
                   7,            0.063197,           0.0063437,           0.0080471,             0.66019,             0.56273,             0.60354,             0.26645,            0.058958,           0.0037269,           0.0036342,           0.0098812,           0.0098812,           0.0098812
                   8,            0.062218,           0.0063446,           0.0079528,             0.59849,             0.57252,             0.58559,             0.23569,             0.05535,           0.0037599,           0.0061214,           0.0098614,           0.0098614,           0.0098614
                   9,            0.060568,           0.0060602,           0.0078545,             0.42422,             0.56384,             0.49755,              0.2053,            0.057894,           0.0037459,            0.026329,           0.0098416,           0.0098416,           0.0098416
                  10,            0.059863,           0.0058342,           0.0072133,             0.70565,             0.57519,             0.63609,             0.28105,            0.056303,           0.0035971,           0.0065526,           0.0098218,           0.0098218,           0.0098218
                  11,            0.058391,            0.006106,           0.0074411,              0.7754,             0.51395,              0.6649,             0.30265,            0.053229,           0.0039287,           0.0036794,            0.009802,            0.009802,            0.009802
                  12,            0.056388,           0.0058044,           0.0067516,             0.84905,             0.60162,               0.709,             0.32599,            0.052438,           0.0034677,           0.0030965,           0.0097822,           0.0097822,           0.0097822
                  13,            0.055316,           0.0058178,           0.0066876,              0.6499,             0.61379,             0.64513,             0.26819,            0.052585,           0.0036269,           0.0051825,           0.0097624,           0.0097624,           0.0097624
                  14,            0.053882,           0.0058319,           0.0063819,              0.8643,             0.54942,             0.71021,             0.29403,            0.049929,           0.0034915,           0.0035495,           0.0097426,           0.0097426,           0.0097426
                  15,            0.055263,              0.0059,           0.0062889,             0.81537,             0.59949,             0.71437,             0.36178,            0.047414,           0.0035138,           0.0025369,           0.0097228,           0.0097228,           0.0097228
                  16,            0.053351,            0.005681,           0.0048204,             0.70988,             0.61204,             0.73057,             0.31205,            0.049481,           0.0033536,           0.0021728,            0.009703,            0.009703,            0.009703
                  17,            0.051781,           0.0056638,           0.0049763,             0.80914,             0.62815,             0.72728,             0.34362,            0.047551,            0.003652,           0.0022483,           0.0096832,           0.0096832,           0.0096832
                  18,            0.051117,           0.0059084,           0.0046358,             0.82638,             0.59992,             0.73488,             0.35922,            0.047801,           0.0033644,           0.0028116,           0.0096634,           0.0096634,           0.0096634
