               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11805,            0.014749,            0.056186,          0.00029599,            0.079935,           0.0001889,          4.0958e-05,            0.099183,             0.01378,            0.054986,              0.0838,              0.0018,              0.0018
                   1,            0.096039,            0.016799,            0.053102,           0.0024932,             0.64143,            0.014501,           0.0040242,            0.072401,            0.014741,            0.052765,            0.066693,           0.0036927,           0.0036927
                   2,            0.077587,            0.018481,            0.051749,           0.0029532,             0.78292,            0.025215,           0.0063053,            0.067642,            0.013166,            0.052633,            0.049578,           0.0055778,           0.0055778
                   3,             0.07211,            0.018479,            0.051161,           0.0033252,             0.89795,            0.031955,           0.0094054,            0.063717,            0.012437,            0.051855,            0.032455,           0.0074554,           0.0074554
                   4,            0.067022,             0.01726,            0.050628,             0.81383,            0.046402,             0.16284,            0.050394,            0.072038,            0.010081,            0.051124,            0.015326,           0.0093256,           0.0093256
                   5,            0.063253,            0.015803,            0.049732,              0.7014,            0.094338,             0.22071,            0.065798,            0.054656,            0.010914,            0.050311,            0.009901,            0.009901,            0.009901
                   6,            0.058062,             0.01696,            0.049288,             0.23843,             0.21697,             0.23961,            0.076341,            0.059882,           0.0095075,            0.049228,            0.009901,            0.009901,            0.009901
                   7,            0.054119,            0.014902,            0.047947,             0.39628,             0.43563,             0.35572,             0.13505,            0.052423,           0.0098875,             0.04714,           0.0098812,           0.0098812,           0.0098812
                   8,              0.0543,            0.014478,            0.046731,             0.36025,             0.38357,              0.2455,            0.099271,            0.053629,           0.0096735,            0.046239,           0.0098614,           0.0098614,           0.0098614
                   9,             0.05446,            0.014186,            0.045505,             0.25416,              0.5374,             0.42639,             0.18392,            0.050198,           0.0086156,            0.044604,           0.0098416,           0.0098416,           0.0098416
                  10,            0.053107,            0.012871,            0.043233,             0.75519,             0.34669,             0.52002,             0.23787,            0.046392,           0.0082119,            0.042067,           0.0098218,           0.0098218,           0.0098218
                  11,            0.050105,            0.012793,            0.040804,              0.7019,             0.51326,             0.62955,             0.25708,            0.048849,           0.0073579,            0.039888,            0.009802,            0.009802,            0.009802
                  12,            0.049866,            0.011027,            0.039871,             0.49072,              0.6398,             0.64784,             0.21703,            0.047443,           0.0071165,            0.038712,           0.0097822,           0.0097822,           0.0097822
                  13,             0.05085,            0.011346,            0.036631,             0.67587,              0.6444,             0.71416,             0.25215,            0.048903,           0.0071146,            0.035321,           0.0097624,           0.0097624,           0.0097624
                  14,            0.049588,           0.0094766,            0.033929,             0.51286,             0.69221,              0.7038,             0.26722,            0.049494,           0.0065017,            0.033526,           0.0097426,           0.0097426,           0.0097426
                  15,            0.049632,           0.0090343,            0.032042,             0.53056,             0.70218,             0.71783,             0.35992,            0.043524,           0.0061079,            0.031665,           0.0097228,           0.0097228,           0.0097228
                  16,            0.049548,           0.0096202,            0.028522,             0.76406,              0.6313,              0.7707,             0.40613,            0.045886,           0.0058356,            0.027586,            0.009703,            0.009703,            0.009703
                  17,            0.046563,           0.0089444,            0.026821,             0.78936,             0.80037,             0.87651,             0.45677,            0.045177,           0.0056736,            0.025258,           0.0096832,           0.0096832,           0.0096832
                  18,            0.045669,           0.0084273,            0.023696,             0.77743,             0.70525,             0.83741,             0.41069,            0.047536,           0.0056038,            0.025442,           0.0096634,           0.0096634,           0.0096634
                  19,            0.049969,           0.0085591,            0.021549,             0.83679,             0.85558,             0.87453,             0.41326,            0.041537,           0.0055934,            0.019482,           0.0096436,           0.0096436,           0.0096436
                  20,            0.047536,           0.0084019,            0.019151,             0.85513,               0.815,              0.8665,             0.41804,             0.04831,           0.0052628,            0.016773,           0.0096238,           0.0096238,           0.0096238
                  21,            0.048771,            0.007682,            0.016335,             0.83426,             0.87454,             0.84971,             0.39496,            0.045656,           0.0052992,            0.014502,            0.009604,            0.009604,            0.009604
                  22,            0.048519,           0.0083798,            0.015038,             0.77247,             0.88288,              0.8245,             0.36167,            0.046599,           0.0050493,            0.013082,           0.0095842,           0.0095842,           0.0095842
                  23,            0.047359,           0.0083966,            0.014371,             0.87505,             0.89589,             0.87614,             0.47118,            0.044402,           0.0048697,             0.01209,           0.0095644,           0.0095644,           0.0095644
