               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021029,           0.0045856,           0.0041148,             0.99354,                   1,               0.995,             0.84714,            0.014111,           0.0024267,           0.0017104,            0.008845,            0.008845,            0.008845
                  37,            0.020306,           0.0045265,           0.0046538,             0.92239,             0.94905,             0.97903,             0.82316,            0.016076,           0.0026415,           0.0077611,            0.008812,            0.008812,            0.008812
                  38,            0.020198,           0.0046619,           0.0044075,             0.94736,             0.97563,              0.9798,             0.81155,            0.015509,           0.0024553,             0.01356,            0.008779,            0.008779,            0.008779
                  39,            0.020118,           0.0044429,           0.0041256,             0.98128,              0.9902,             0.98915,             0.84639,            0.014499,           0.0023764,            0.014155,            0.008746,            0.008746,            0.008746
                  40,            0.020443,           0.0047218,           0.0042779,             0.97779,             0.99236,               0.995,             0.86489,            0.014495,           0.0024008,           0.0037574,            0.008713,            0.008713,            0.008713
                  41,            0.020639,           0.0045479,           0.0035344,             0.99508,                   1,               0.995,             0.83358,            0.015381,           0.0024637,           0.0013074,             0.00868,             0.00868,             0.00868
                  42,            0.020169,           0.0044073,           0.0035558,             0.99518,                   1,               0.995,             0.85486,            0.012692,           0.0023275,           0.0014967,            0.008647,            0.008647,            0.008647
                  43,            0.020392,           0.0045983,           0.0034882,             0.99166,             0.99722,               0.995,             0.83756,            0.015089,           0.0023596,           0.0040603,            0.008614,            0.008614,            0.008614
                  44,             0.02022,           0.0043731,           0.0031174,             0.99482,             0.99979,               0.995,             0.84887,            0.013522,           0.0022035,           0.0013253,            0.008581,            0.008581,            0.008581
                  45,            0.019747,             0.00442,           0.0036663,             0.96404,             0.97877,             0.99001,             0.81474,              0.0157,           0.0023332,           0.0037727,            0.008548,            0.008548,            0.008548
                  46,              0.0196,            0.004453,           0.0032768,             0.98563,               0.992,               0.995,             0.84807,            0.013214,           0.0021554,           0.0020342,            0.008515,            0.008515,            0.008515
                  47,            0.019312,           0.0044164,           0.0032511,             0.99541,                   1,               0.995,             0.87604,            0.011975,           0.0022565,           0.0013777,            0.008482,            0.008482,            0.008482
                  48,            0.018147,           0.0043024,           0.0036225,             0.99194,                   1,               0.995,             0.86057,            0.013344,           0.0021733,           0.0014844,            0.008449,            0.008449,            0.008449
                  49,            0.019334,           0.0043258,           0.0031868,             0.97072,             0.96807,             0.99333,             0.87428,            0.012003,           0.0022146,           0.0038707,            0.008416,            0.008416,            0.008416
                  50,            0.018358,           0.0042907,           0.0029198,             0.98665,             0.99004,               0.995,             0.87152,            0.012056,           0.0021335,           0.0021808,            0.008383,            0.008383,            0.008383
                  51,            0.017961,           0.0042076,           0.0030371,             0.98493,             0.98989,               0.995,             0.85333,              0.0124,           0.0020013,           0.0024149,             0.00835,             0.00835,             0.00835
