               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096436,            0.019041,            0.055045,           0.0037675,               0.964,            0.025634,           0.0067246,            0.072162,            0.013008,            0.047928,              0.0704,           0.0032889,           0.0032889
                   1,            0.063303,            0.018293,            0.046602,             0.11076,             0.24877,             0.18242,            0.062879,            0.061813,            0.008752,            0.041091,            0.040378,           0.0066004,           0.0066004
                   2,            0.058945,            0.014639,            0.042468,             0.25315,             0.50909,             0.36351,             0.16212,            0.056039,           0.0073457,            0.038385,            0.010334,           0.0098898,           0.0098898
                   3,            0.056411,            0.011817,            0.038785,             0.30801,              0.5516,              0.4007,             0.16148,            0.052428,           0.0059738,            0.036107,            0.009901,            0.009901,            0.009901
                   4,            0.050368,           0.0098394,            0.035731,             0.64149,             0.66859,             0.67182,             0.35456,            0.044304,           0.0049488,             0.03182,            0.009901,            0.009901,            0.009901
                   5,            0.048051,           0.0090698,            0.032589,             0.44577,             0.67086,             0.60459,             0.31959,            0.046508,           0.0048277,            0.028322,            0.009868,            0.009868,            0.009868
                   6,            0.045423,           0.0084884,            0.028859,             0.59731,             0.66572,              0.7184,             0.42318,            0.041169,           0.0044672,            0.025258,            0.009835,            0.009835,            0.009835
                   7,            0.043824,           0.0082193,            0.024246,             0.84325,              0.7737,             0.88298,             0.51328,              0.0391,           0.0043093,            0.020109,            0.009802,            0.009802,            0.009802
                   8,            0.043091,           0.0085933,            0.020343,             0.79232,             0.88102,             0.92388,             0.47953,             0.04096,            0.004133,             0.01539,            0.009769,            0.009769,            0.009769
                   9,            0.042904,            0.007986,            0.016506,             0.73839,             0.92521,             0.88631,             0.51432,            0.041015,            0.003953,            0.013035,            0.009736,            0.009736,            0.009736
                  10,            0.041202,           0.0076826,            0.013346,             0.91133,             0.95147,             0.94692,             0.60994,            0.037297,           0.0039816,            0.010902,            0.009703,            0.009703,            0.009703
                  11,            0.040546,           0.0077213,            0.011577,              0.8706,             0.93215,             0.94715,             0.59743,            0.036201,           0.0039146,            0.011312,             0.00967,             0.00967,             0.00967
                  12,            0.040081,           0.0073044,            0.011025,             0.95593,             0.91939,             0.97796,             0.68677,            0.033473,           0.0037238,            0.011232,            0.009637,            0.009637,            0.009637
                  13,             0.03874,            0.007607,            0.010539,             0.90513,             0.92709,             0.95503,             0.59744,            0.036426,           0.0038145,           0.0099343,            0.009604,            0.009604,            0.009604
                  14,            0.038712,           0.0075134,            0.010159,             0.94421,             0.96664,             0.98239,             0.70422,             0.03384,           0.0036309,           0.0089812,            0.009571,            0.009571,            0.009571
                  15,            0.038281,           0.0075856,           0.0095207,             0.91502,             0.97544,              0.9693,             0.65925,            0.036578,           0.0035939,           0.0087511,            0.009538,            0.009538,            0.009538
                  16,            0.037827,           0.0075316,            0.010102,             0.85845,             0.94839,             0.92666,             0.67288,            0.035235,           0.0038009,            0.010377,            0.009505,            0.009505,            0.009505
                  17,            0.037863,            0.007478,           0.0093188,             0.96022,             0.96858,             0.98913,             0.69641,            0.032643,           0.0036072,           0.0076302,            0.009472,            0.009472,            0.009472
                  18,            0.037242,           0.0075239,           0.0095547,             0.97155,             0.99206,              0.9847,             0.71598,            0.032488,           0.0035923,           0.0080237,            0.009439,            0.009439,            0.009439
                  19,            0.036236,           0.0072078,           0.0093102,             0.97191,             0.96712,             0.98741,             0.71247,            0.032869,           0.0035378,            0.008004,            0.009406,            0.009406,            0.009406
                  20,            0.035878,             0.00702,           0.0087391,             0.98611,              0.9825,             0.98658,             0.71599,            0.033128,           0.0034838,           0.0073725,            0.009373,            0.009373,            0.009373
                  21,            0.035913,           0.0071836,            0.008963,              0.9382,             0.96529,             0.97167,             0.69922,            0.033103,           0.0035476,           0.0073501,             0.00934,             0.00934,             0.00934
                  22,            0.035472,            0.006956,           0.0082024,             0.96119,             0.95918,             0.98086,             0.73774,            0.030669,           0.0034452,           0.0093728,            0.009307,            0.009307,            0.009307
                  23,            0.034891,           0.0070186,           0.0080775,             0.98654,              0.9781,             0.98659,             0.71811,            0.030735,           0.0034159,           0.0076557,            0.009274,            0.009274,            0.009274
                  24,            0.034314,           0.0069272,           0.0080637,             0.93305,             0.95587,             0.95861,             0.69751,            0.033386,           0.0033359,           0.0082874,            0.009241,            0.009241,            0.009241
                  25,            0.033714,           0.0068688,           0.0080238,             0.97058,             0.97582,             0.97713,             0.71663,            0.031257,           0.0034036,           0.0075994,            0.009208,            0.009208,            0.009208
                  26,            0.034325,           0.0068616,           0.0080622,             0.97172,              0.9752,             0.97361,             0.72292,            0.030915,           0.0033465,            0.007896,            0.009175,            0.009175,            0.009175
                  27,            0.033684,           0.0067471,            0.008065,              0.9415,              0.9513,             0.95419,             0.69944,            0.033529,           0.0034425,            0.007966,            0.009142,            0.009142,            0.009142
                  28,            0.033603,           0.0066988,           0.0081165,              0.9686,             0.97688,             0.98217,             0.76693,            0.029024,           0.0032784,           0.0075937,            0.009109,            0.009109,            0.009109
                  29,            0.034293,           0.0069372,           0.0084302,             0.95511,             0.95313,             0.97082,              0.7397,            0.030831,           0.0032858,           0.0074899,            0.009076,            0.009076,            0.009076
                  30,            0.033528,           0.0067592,           0.0071705,             0.96127,             0.94328,             0.97874,             0.73627,             0.03055,            0.003228,           0.0092535,            0.009043,            0.009043,            0.009043
                  31,            0.032612,           0.0069128,           0.0080659,             0.97184,             0.97257,             0.98665,             0.74512,            0.029825,           0.0033106,           0.0072374,             0.00901,             0.00901,             0.00901
                  32,            0.032285,            0.006616,           0.0081108,             0.96808,             0.98173,             0.98266,             0.76498,            0.030002,           0.0032922,            0.007301,            0.008977,            0.008977,            0.008977
                  33,            0.032378,           0.0067359,           0.0074175,             0.96973,             0.98927,             0.98459,              0.7941,            0.028183,           0.0032317,           0.0077341,            0.008944,            0.008944,            0.008944
                  34,            0.031963,           0.0065812,           0.0072992,             0.96888,             0.96986,              0.9756,             0.70796,            0.031933,           0.0031711,            0.006652,            0.008911,            0.008911,            0.008911
                  35,            0.031518,           0.0066595,           0.0068902,              0.9541,             0.92573,             0.96724,              0.7129,            0.032465,           0.0031876,            0.010908,            0.008878,            0.008878,            0.008878
                  36,            0.030476,            0.006446,           0.0071482,             0.96935,             0.97167,              0.9873,             0.76651,            0.029235,           0.0032589,           0.0065129,            0.008845,            0.008845,            0.008845
                  37,            0.031672,           0.0063558,           0.0070774,             0.97554,             0.97429,             0.98231,             0.74724,            0.029066,           0.0032532,            0.007292,            0.008812,            0.008812,            0.008812
                  38,            0.030432,           0.0064457,           0.0069107,             0.95951,             0.96005,             0.95851,             0.74637,             0.03139,           0.0032079,           0.0071264,            0.008779,            0.008779,            0.008779
                  39,            0.030513,            0.005955,           0.0068578,             0.94677,             0.94257,             0.96645,             0.78448,            0.027822,           0.0032127,           0.0094341,            0.008746,            0.008746,            0.008746
                  40,            0.030997,           0.0065412,            0.006828,             0.96398,             0.96357,             0.98977,             0.77215,            0.028724,           0.0030822,            0.008052,            0.008713,            0.008713,            0.008713
                  41,            0.030603,           0.0062135,           0.0069562,             0.96648,              0.9833,             0.98672,             0.75207,            0.028823,           0.0031459,            0.006706,             0.00868,             0.00868,             0.00868
                  42,            0.030254,           0.0064229,           0.0070959,             0.96602,             0.98581,             0.98659,             0.77897,            0.026345,           0.0030964,           0.0065527,            0.008647,            0.008647,            0.008647
                  43,             0.03027,           0.0064251,           0.0065333,             0.96713,             0.97828,              0.9773,             0.78328,            0.028568,           0.0032682,           0.0068203,            0.008614,            0.008614,            0.008614
                  44,            0.030524,           0.0061078,           0.0067846,             0.97489,             0.99137,              0.9784,             0.78103,            0.026832,           0.0030724,            0.006691,            0.008581,            0.008581,            0.008581
                  45,            0.029941,           0.0061123,           0.0064901,             0.98314,             0.98301,             0.98494,             0.78892,            0.026728,           0.0030914,           0.0066398,            0.008548,            0.008548,            0.008548
                  46,            0.030491,           0.0062219,           0.0065717,             0.95186,             0.95956,             0.96032,             0.74598,            0.030119,           0.0030282,           0.0068259,            0.008515,            0.008515,            0.008515
                  47,            0.029993,            0.006089,           0.0063209,             0.97481,             0.97739,             0.98824,             0.79963,            0.026498,            0.002923,            0.006958,            0.008482,            0.008482,            0.008482
                  48,            0.029578,           0.0062131,           0.0061516,             0.98024,             0.97451,             0.98769,             0.80921,             0.02588,           0.0028886,           0.0067684,            0.008449,            0.008449,            0.008449
                  49,            0.029036,            0.006015,           0.0062824,             0.97854,             0.97702,             0.98926,             0.79689,            0.027288,           0.0030443,            0.006855,            0.008416,            0.008416,            0.008416
                  50,             0.02897,            0.006024,           0.0055822,             0.97101,             0.97523,             0.98798,             0.79195,            0.027396,           0.0030468,           0.0071511,            0.008383,            0.008383,            0.008383
                  51,            0.028155,           0.0059605,           0.0059291,             0.97596,             0.97216,             0.98224,             0.81576,            0.024894,           0.0028045,           0.0073392,             0.00835,             0.00835,             0.00835
                  52,            0.027995,           0.0058962,           0.0062891,             0.97464,             0.98408,             0.98943,               0.821,            0.025428,           0.0027788,            0.006591,            0.008317,            0.008317,            0.008317
                  53,             0.02903,             0.00586,           0.0059439,             0.98794,             0.97529,             0.98241,             0.81569,            0.026782,            0.002945,           0.0063369,            0.008284,            0.008284,            0.008284
                  54,            0.028616,           0.0057321,           0.0060888,             0.97356,             0.97205,             0.98809,             0.80216,            0.026936,           0.0028193,            0.006898,            0.008251,            0.008251,            0.008251
                  55,            0.029116,           0.0058523,           0.0063366,             0.91641,             0.94934,             0.93714,             0.74201,            0.029665,           0.0030499,            0.011714,            0.008218,            0.008218,            0.008218
                  56,            0.028026,            0.005958,           0.0062006,             0.98415,             0.98225,             0.98993,             0.80641,            0.026414,           0.0028232,           0.0064323,            0.008185,            0.008185,            0.008185
                  57,            0.028183,            0.005895,           0.0060317,             0.97871,             0.98585,             0.98949,             0.79137,            0.028877,           0.0028855,           0.0066408,            0.008152,            0.008152,            0.008152
                  58,            0.028697,           0.0060361,           0.0058954,             0.96601,             0.97852,             0.97636,             0.81762,            0.027281,           0.0029048,           0.0068094,            0.008119,            0.008119,            0.008119
                  59,            0.027435,            0.005961,           0.0054808,             0.98184,             0.98275,             0.98748,             0.79333,            0.027236,           0.0028539,           0.0067028,            0.008086,            0.008086,            0.008086
                  60,            0.027681,           0.0057639,            0.005911,             0.97843,             0.98585,             0.98647,              0.7867,            0.027822,           0.0030154,           0.0068236,            0.008053,            0.008053,            0.008053
                  61,             0.02738,           0.0059914,           0.0055305,              0.9642,             0.97728,             0.98463,             0.81056,            0.025891,           0.0030816,           0.0070346,             0.00802,             0.00802,             0.00802
                  62,             0.02714,           0.0056204,           0.0056508,             0.98129,             0.98193,             0.98779,             0.78973,             0.02635,           0.0029969,            0.006123,            0.007987,            0.007987,            0.007987
                  63,            0.026983,           0.0055297,           0.0058919,             0.97651,             0.98223,             0.98743,             0.84556,            0.023339,           0.0028319,           0.0062747,            0.007954,            0.007954,            0.007954
                  64,            0.026752,           0.0057018,           0.0061457,             0.97201,             0.97978,             0.98163,             0.82328,            0.025328,           0.0029834,           0.0065162,            0.007921,            0.007921,            0.007921
                  65,            0.027937,           0.0057219,           0.0060841,             0.93418,             0.93399,             0.95414,             0.75691,            0.031215,           0.0032466,            0.010124,            0.007888,            0.007888,            0.007888
                  66,            0.027507,           0.0055729,           0.0058765,             0.97924,             0.98233,             0.98308,              0.8075,            0.027942,           0.0030254,           0.0059314,            0.007855,            0.007855,            0.007855
                  67,            0.026627,           0.0057981,           0.0058168,              0.9836,             0.97488,             0.98767,             0.82355,            0.026328,           0.0029452,           0.0061352,            0.007822,            0.007822,            0.007822
                  68,            0.027013,           0.0056356,           0.0053772,             0.98564,             0.97907,             0.98126,             0.80345,            0.026429,           0.0029771,           0.0063543,            0.007789,            0.007789,            0.007789
                  69,             0.02763,           0.0057882,           0.0059471,             0.98225,             0.98275,             0.98711,             0.83259,            0.024545,           0.0028493,           0.0061809,            0.007756,            0.007756,            0.007756
                  70,            0.027343,           0.0058601,           0.0062203,             0.96805,             0.97829,             0.98074,             0.82734,            0.024875,           0.0029562,           0.0070583,            0.007723,            0.007723,            0.007723
                  71,            0.027042,           0.0055622,           0.0057303,             0.97177,             0.97362,             0.97533,              0.7785,            0.028548,             0.00309,           0.0069356,             0.00769,             0.00769,             0.00769
                  72,            0.026839,           0.0055798,           0.0057536,             0.98837,             0.98328,             0.98752,             0.83737,            0.025044,           0.0028349,           0.0059221,            0.007657,            0.007657,            0.007657
                  73,            0.026101,           0.0055357,           0.0051101,             0.97887,             0.97652,             0.98481,             0.81149,            0.027045,           0.0028503,           0.0060936,            0.007624,            0.007624,            0.007624
                  74,            0.026544,           0.0056192,            0.005487,             0.98224,             0.97705,              0.9849,             0.81426,            0.025711,           0.0028898,           0.0066752,            0.007591,            0.007591,            0.007591
                  75,            0.026006,           0.0055848,           0.0051426,               0.976,             0.97654,             0.98582,             0.83004,            0.024671,           0.0028533,           0.0063374,            0.007558,            0.007558,            0.007558
                  76,            0.026301,            0.005537,           0.0057733,             0.97204,              0.9903,             0.98676,             0.82534,            0.026014,            0.002784,           0.0069541,            0.007525,            0.007525,            0.007525
                  77,            0.025667,           0.0055673,           0.0054317,             0.96399,             0.97189,             0.96627,             0.80747,            0.029017,           0.0029253,           0.0067981,            0.007492,            0.007492,            0.007492
                  78,            0.026329,           0.0055473,           0.0054943,              0.9671,             0.96776,             0.97313,             0.80783,            0.027965,           0.0029442,           0.0065568,            0.007459,            0.007459,            0.007459
                  79,             0.02633,           0.0057543,           0.0054715,             0.97612,             0.97594,             0.98938,             0.82289,             0.02547,           0.0027769,           0.0068267,            0.007426,            0.007426,            0.007426
                  80,            0.025208,           0.0052472,           0.0052139,             0.96421,             0.97791,             0.98519,             0.81658,            0.026569,            0.002863,           0.0073639,            0.007393,            0.007393,            0.007393
                  81,            0.025808,           0.0055383,           0.0050174,             0.97761,             0.97654,             0.98666,             0.82603,            0.025114,           0.0026177,           0.0065029,             0.00736,             0.00736,             0.00736
                  82,            0.026206,           0.0056741,           0.0053137,             0.98414,             0.98219,             0.98748,             0.85278,            0.024378,           0.0027763,           0.0064912,            0.007327,            0.007327,            0.007327
                  83,            0.025448,            0.005752,           0.0050683,             0.97001,             0.96365,             0.98238,             0.80008,            0.027059,           0.0028878,           0.0073892,            0.007294,            0.007294,            0.007294
                  84,            0.025804,            0.005519,           0.0052556,               0.968,              0.9635,             0.98436,             0.82751,            0.025127,           0.0027314,           0.0074238,            0.007261,            0.007261,            0.007261
                  85,            0.026048,           0.0055865,           0.0052694,             0.96375,             0.96971,             0.97762,             0.77674,            0.028566,           0.0030063,           0.0064927,            0.007228,            0.007228,            0.007228
                  86,            0.025892,           0.0053032,           0.0053283,             0.98154,             0.97084,             0.98395,             0.82437,            0.025846,           0.0029131,           0.0057644,            0.007195,            0.007195,            0.007195
                  87,             0.02611,           0.0056599,           0.0055964,             0.97895,             0.98412,             0.98747,             0.82563,            0.024986,           0.0027378,           0.0059826,            0.007162,            0.007162,            0.007162
                  88,            0.025215,           0.0054042,           0.0053089,             0.97316,             0.98701,             0.99134,             0.82173,            0.026046,           0.0027017,           0.0066724,            0.007129,            0.007129,            0.007129
                  89,            0.024966,           0.0054081,           0.0048936,             0.98122,             0.98574,             0.98559,             0.83501,            0.026303,           0.0027914,           0.0066467,            0.007096,            0.007096,            0.007096
                  90,            0.025079,           0.0052439,           0.0049282,             0.97451,             0.97856,             0.98059,             0.80544,            0.028239,           0.0030569,           0.0062297,            0.007063,            0.007063,            0.007063
                  91,            0.025074,           0.0053859,           0.0051443,              0.9722,             0.97706,             0.97973,             0.80535,            0.028371,           0.0030023,           0.0064118,             0.00703,             0.00703,             0.00703
                  92,            0.024681,           0.0052209,           0.0050126,             0.97886,             0.98896,             0.98218,             0.83713,            0.025251,           0.0028987,           0.0061639,            0.006997,            0.006997,            0.006997
                  93,            0.024711,           0.0052435,            0.004959,             0.98903,             0.98585,             0.98807,              0.8327,            0.025873,           0.0028096,           0.0057363,            0.006964,            0.006964,            0.006964
                  94,            0.024041,            0.005117,           0.0048346,              0.9809,             0.98315,             0.98711,             0.85321,             0.02295,           0.0027673,           0.0060375,            0.006931,            0.006931,            0.006931
