               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091066,             0.01879,            0.054203,           0.0033995,             0.99383,            0.034757,            0.010372,            0.052224,            0.013812,            0.050702,              0.0704,           0.0032889,           0.0032889
                   1,            0.055323,            0.018882,            0.050453,             0.35857,             0.23297,             0.26406,            0.093204,            0.048918,             0.00929,            0.048117,            0.040378,           0.0066004,           0.0066004
                   2,            0.049161,            0.015722,            0.047206,             0.32395,             0.48578,             0.39744,             0.23194,            0.046234,            0.007129,            0.040847,            0.010334,           0.0098898,           0.0098898
                   3,             0.04738,            0.012459,            0.040645,              0.5777,             0.69933,             0.71725,             0.35815,            0.039922,           0.0056499,            0.031493,            0.009901,            0.009901,            0.009901
                   4,            0.042553,           0.0095841,            0.031704,             0.61808,             0.74456,             0.73414,              0.3563,            0.041877,             0.00467,            0.021618,            0.009901,            0.009901,            0.009901
                   5,            0.040491,           0.0084359,            0.023905,             0.73132,             0.84351,             0.84674,             0.46173,            0.036696,           0.0040008,            0.013637,            0.009868,            0.009868,            0.009868
                   6,            0.038798,           0.0079165,            0.017337,             0.78135,             0.89267,             0.90957,             0.49813,            0.036275,           0.0039052,           0.0091492,            0.009835,            0.009835,            0.009835
                   7,            0.036506,           0.0076242,            0.014616,              0.8837,             0.94786,             0.97183,             0.54563,            0.031647,           0.0036264,           0.0093257,            0.009802,            0.009802,            0.009802
                   8,            0.034659,           0.0074849,            0.012367,             0.82954,             0.89622,             0.92942,             0.61049,            0.029337,           0.0035234,           0.0085042,            0.009769,            0.009769,            0.009769
                   9,            0.032314,           0.0072333,            0.012036,             0.88463,             0.93262,              0.9741,             0.68885,            0.026209,           0.0034097,           0.0060234,            0.009736,            0.009736,            0.009736
                  10,            0.031995,           0.0067371,            0.010361,             0.90788,             0.88462,             0.96136,             0.68905,            0.025707,           0.0034509,            0.014339,            0.009703,            0.009703,            0.009703
                  11,             0.03087,            0.006945,            0.011399,             0.94344,             0.98781,              0.9924,             0.71078,            0.021059,           0.0033157,           0.0050101,             0.00967,             0.00967,             0.00967
                  12,            0.030712,           0.0066208,            0.009714,             0.93789,             0.93317,             0.98812,             0.66476,            0.025474,           0.0033193,           0.0068624,            0.009637,            0.009637,            0.009637
                  13,            0.030379,            0.007126,           0.0087805,             0.98892,             0.99668,               0.995,             0.70738,            0.023452,           0.0031723,           0.0029779,            0.009604,            0.009604,            0.009604
                  14,            0.028755,           0.0066518,           0.0088769,             0.93122,             0.98607,              0.9879,             0.69228,             0.02422,           0.0030898,           0.0032901,            0.009571,            0.009571,            0.009571
                  15,            0.029142,           0.0066599,           0.0083797,              0.9689,             0.96797,             0.99123,             0.75039,            0.022207,           0.0031469,           0.0037156,            0.009538,            0.009538,            0.009538
                  16,            0.027801,           0.0065458,           0.0091751,             0.96458,             0.97457,             0.98782,             0.70767,            0.022542,           0.0032433,           0.0054904,            0.009505,            0.009505,            0.009505
                  17,             0.02839,           0.0064999,            0.008733,             0.98596,             0.98993,             0.99391,             0.70048,             0.02175,           0.0030573,           0.0025712,            0.009472,            0.009472,            0.009472
                  18,            0.028367,           0.0067836,           0.0081559,             0.93573,             0.91296,             0.98419,             0.72424,            0.021786,           0.0031282,            0.010488,            0.009439,            0.009439,            0.009439
                  19,             0.02636,           0.0062149,           0.0089727,              0.9184,             0.93955,               0.969,             0.74018,             0.02026,            0.003019,            0.012207,            0.009406,            0.009406,            0.009406
                  20,            0.026981,           0.0062149,           0.0078413,             0.97022,             0.97323,             0.99115,             0.76008,            0.022177,           0.0029148,            0.004714,            0.009373,            0.009373,            0.009373
                  21,            0.026236,           0.0063556,           0.0077647,             0.97007,             0.96112,             0.99482,             0.78442,            0.020491,           0.0030131,           0.0059016,             0.00934,             0.00934,             0.00934
                  22,            0.025995,            0.006223,           0.0088039,             0.98347,             0.96644,             0.99364,             0.75664,            0.018218,           0.0028689,           0.0055445,            0.009307,            0.009307,            0.009307
                  23,            0.025187,           0.0061337,           0.0084125,             0.98682,             0.99014,             0.99367,             0.79359,            0.017982,           0.0027724,           0.0037825,            0.009274,            0.009274,            0.009274
                  24,            0.025476,           0.0062326,           0.0077008,              0.9639,             0.96452,              0.9806,             0.77713,            0.019507,           0.0027561,           0.0062579,            0.009241,            0.009241,            0.009241
                  25,            0.024687,           0.0060641,           0.0073392,             0.99334,             0.99456,               0.995,             0.80825,            0.017011,           0.0026322,           0.0026472,            0.009208,            0.009208,            0.009208
                  26,            0.025238,           0.0059264,           0.0072133,             0.96687,               0.971,             0.99064,             0.79794,            0.017161,           0.0027033,           0.0050764,            0.009175,            0.009175,            0.009175
                  27,            0.024377,           0.0058597,           0.0072463,             0.99364,             0.99537,               0.995,              0.7927,            0.017521,           0.0026081,           0.0020482,            0.009142,            0.009142,            0.009142
                  28,            0.023035,            0.005607,           0.0058824,             0.97335,             0.98459,             0.99307,             0.74389,            0.020025,           0.0026331,            0.003607,            0.009109,            0.009109,            0.009109
                  29,            0.023872,           0.0058597,           0.0064473,             0.99051,              0.9797,               0.995,             0.78824,            0.016703,           0.0025629,            0.003669,            0.009076,            0.009076,            0.009076
                  30,            0.024056,           0.0058594,            0.006757,             0.93347,             0.91278,             0.94989,             0.71732,            0.019123,           0.0029335,            0.013071,            0.009043,            0.009043,            0.009043
                  31,              0.0237,            0.005806,            0.006212,             0.88813,             0.91661,             0.96611,             0.76221,            0.018663,           0.0025415,            0.013826,             0.00901,             0.00901,             0.00901
